ID	발행연월	록키 워드 
595	2010	쇠퇴 도시 지역 세계 도시 지역 기능 부여 창출 물리 환경 경제 생활 문화 재활 성화 도시 재생 도시 계획 방안 강구 중국 베이 정 인근 지역 과거 공장 지대 산업 변화 공장 기능 상실 산업 유휴 방치 예술 문화 매개 로한 도시 재활 성화 도시 재생 성공 사례 평가 지역 도시 재생 사려 대별 이유 지역 지역 이해 당사자 간 갈등 구조 노력 해결 과정 산물 지역 특정 관 주도 자연 발생 과거 현재 모습 공존 적극 문화예술 매개 활용 최대 지역 사례 함의 정책 시사점 철거 대상 과거 낙후 공장 지역 산업 유산 관점 재평가 보존 필요 제기 공공 정책 지원 지구 지정 인센티브 문화예술 활성 지원 과거 공장 빚 창고 현대 개조 활용 유도 방안 제시 마지막 지역 축제 전시회 노력 강화 자생 지역 활성 재생 과정 도시 재생 도시 활성 베이징 한국 도시 재생 
596	2007	오늘날 거리 물리 의미 투쟁 문화 행위 문화 정치 장 논문 광주 금남로 조각 거리 문화 정치 의미 해독 공공미술 정치 예술 분석 금남로 역사 기억 공공미술 재현 이데올로기 시민 문화 향유 조각 거리 금남로 작품 역사 해 손 주장 제기 금남로 한국근현대사 핵심 저항 시대정신 표상 관점 거리 설치 조각 작품 재현 문화 정치 의미 인가 조각 거리 조성 사업 문제점 문화 행정 문화 민주주의 차원 비판 도시 경관 미학 설치 부조화 언급 금남로 아시아 문화 전당 건립 5월 기억 핵심 담론 등장 건립 아시아 문화 전당 을 기억 경외 방식 건립 예정 동선 금남로 18 기억 문화 재현 방식 조정 차원 논문 문화 정치 차원 의미 논문 공공미술 거리 정치 문화 정치 저항 역사 기억 
597	2010	모바일 인터넷 인식 네트워크 연결 이동성 관계 
598	2010	아파트 주거 단지 외부 공 삶의 질 거주 민 부각 환경 조형물 미 효과 환경 개선 부여 주민 참여 유도 정서 함양 인간성 회복 역할 수행 아파트 환경 조형물 예술 대중 긍정 양 위주 작품 주변 환경 부조화 건축물 장식품 소품 역할 환경 조형물 아파트 경관 장식 이상 공공 미술 작품 아파트 환경 디자인 향상 수단 시각 출발 환경 조형물 설치 밀접 관계 시각 대상 주변 환경 맥락 요소 파악 환경 조형물 자체 아파트 이용자 행태 관람 조건 결정 범위 환경 조형물 아파트 경관 상관관계 건축물 보행자 조형물 시점 분석 상관 파악 결과 환경 조형물 주변 긍정 영향 결합 분석 이론 근거 토대 포천시 심의 대상 아파트 환경 조형물 중심 현황 분석 문제점 앞으로 개선 방안 제시 내용 결과 아파트 경관 영향 환경 조형물 필요 이론 정리 제시 아파트 경관 환경 조형물 관계 분석 환경 조형물 조형 디자인 가이드라인 제시 포천시 사례 분석 문제점 개선 방안 아파트 환경 조형물 정보 제시 아파트 경관 환경 조형물 포천시 
599	2008	문화재 시설 조상 역사 문화 정체성 포함 원형 유지 통합 디자인 기준 관리 주변 경관 부조화 문화재 문화 역사 가치 훼손 우려 실정 안내 시스템 경우 정체성 부재 가독성 디자인 노후 원색 사용 인해 문화재 환경 저해 요소 대두 조선 왕릉 대상 문화재 역사 이미지 주변 환경 조화 통합 안내 시스템 개발 목적 다양성 인정 관용 논리 통합 논리 화이 부동 관점 듯이 듯이 억지 디자인 역점 결과 인간 역사 자연 이치 조화 왕릉 정체성 개념 분석 형태 접근 발전 안내 시스템 자연 왕릉 자연 경관 흡수 역사 흔적 내포 장식 배제 최소한 면 분할 직선 평면 입체 시간 변화 질감 시선 방법 안내 시스템 개발 문화재 환경 편의 개선 기여 관리 효율 증대 시설물 이용 편의 조형 미 향상 관광 만족도 향상 조선 왕릉 문화 자산 가치 향상 기대 
600	2009	융합 통섭 혼 종성 시대 패러다임 구현 문화콘텐츠 산업 오늘날 기술 집약 부가가치 산업 점증 문화콘텐츠 산업 과거 농경 사회 산업화 후기 산업 사회 정보화 사회 도래 이후 시대 패러다임 흡수 대체 세기 경제 문화 추동 가시 힘 작동 시대 변화 맥락 문화콘텐츠 산업 정의 유형 종류 트렌드 국내외 사례 분야 분석 향후 경기도 문화콘텐츠 산업 활성 방안 장기 밑그림 제공 동시 지속 구체 특화 방안 경기도 고유 역사 포함 지역 부합 문화콘텐츠 산업 인프라 구축 클러스터 선택 집중 효과 극대 가지 실제 사례 제공 경기도 진행 중 구상 중인 일련 문화콘텐츠 관련 사업 성찰 분석 향후 전망 클러스터 모형 장점 한계 대안 중심 논의 향후 문화콘텐츠 산업 경기도 주력 산업 정착 개별 클러스터 특정 분야 종사 전문가 기업 산업 이해관계 제어 공공정책 문화콘텐츠 산업 장기 플랜 실행 사업 세부 계획 시행 세칙 필요 경기도 추진 중 클러스터 추구 구호 정치 수사 산업 이해관계 반영 실제 문화 정책 도민 일상 제도 장치 생활 세계 현장 실천 조화 방안 중앙 정부 지방 정부 정책 입안자 실무자 주민 고민 실천 정책 거버넌스 필요 융합 통섭 정신 보편 총체 연계 지역 독창 문화 본연 논리 씨줄 날줄 조화 문화콘텐츠 산업 성과 장기 차원 변화 담보 논의 일맥상통 제도 실천 정책 일상 산업 문화 대자 이분법 접근 곤란 문화 산업 특수 반영 문화콘텐츠 산업 클러스터 모형 지역 
601	2008	생활수준 문화 발전 정주 환경 삶의 질 관심 시작 남 공동체 삶 삶 공공 관심 공공 공공 디자인 도시 건축 조경 산업 디자인 디자인 영역 관계 도심 내 공공 공공 디자인 서울시 적용 정책 법령 중심 도시 건축 관련 법 중 서울특별시 도시 디자인 조례 디자인서울 가이드라인 경관 법 시행령 조례 경관 계획 수립 첨 국토 계획 이용 법률 중 지구 단위 계획 중심 비교 분석 공공 디자인 계획 도시 공공 효율 통합 관리 방법 모색 도시 건축 정체성 도시 공공 디자인 통합 관리 도움 
602	2009	환경 이미지 환경 반응 환경 특징 환경 기호 정서 바탕 총체 이미지 오늘날 분별 시설물 개발 환경 이미지 시각 조형 표현 환경 이미지 문화재 환경 이미지 조화 역사 문화 유형 무형 자원 남한산성 경기도 대한민국 대표 역사 문화 관광지 발전 잠재력 현재 위 이유 남한산성 대상 문화 역사 가치 인식 재고 지역 역사 문화재 정체성 확보 산성 문화재 환경 이미지 부각 주변 환경 조화 통합 안내 시스템 개발 목적 성질 대립 갈등 상호 공존 필요 존재 방식 관점 원래 자리 개념 산성 접목 발전 안내 시스템 개발 문화재 환경 편의 개선 기여 관리 효율 증대 남한산성 탐방객 이용만 족도 문화 자산 가치 향상 기대 
603	2015	도심 도시 재생 도시 관광 커뮤니티 커뮤니티 비즈니스 
604	2010	모던 이원론 주변 환경 주제 전 이주 추상 
605	2010	
606	2009	급변 세계정세 기술 환경 경제 자립 기반 국내 도시 세계 경쟁력 마케팅 기법 정책 수용 시작 전술 수단 도시 디자인 활용 초보 단계 국내 도시 디자인 유비쿼터스 패러다임 발전 지속 유비쿼터스 사회 필요 도시 디자인 조건 고찰 필요 국가 비전 한국 유비쿼터스 추구 전략 준거 틀 주목 도시 디자인 조건 조명 목적 논의 전개 논문 국내 도시 디자인 고찰 유비쿼터스 국가 비전 고찰 문헌 조사 진행 마지막 단계 고찰 결과 종합 추구 도시 디자인 조건 조명 결과 국내 도시 디자인 측면 현실 핵심 요소 규정 디자인 지침 요구 파악 고유 생태 인프라 구축 기반 위 고유 유비쿼터스 문화 구축 전략 결과 추구 도시 디자인 관점 종합 결과 한국 생태 인프라 위 고유 유비쿼터스 도시 문화 구축 정서 문화 도시 융합 한국 정의 모델 필요 지원 한국 생태 유비쿼터스 인프라 활용 방안 모색 필요 확인 오늘 도시 디자인 조건 조건 적극 반영 한국 형 라이프 스타일 밀착 지능 도시 환경 추구 서비스 개발 차세대 도시 디자인 비전 제시 필요 
607	2010	
608	2010	
609	2006	
610	2008	
611	2001	팔공산 지형 특성 반영 입지 가람 배치 풍수지리 특성 동화사 풍수지리 특성 해석 향후 동화사 토지 이용 건물 개축 진입로 개설 가람 변경 유지 참고 기초 자료 제공 생각 동화사 산 물 지세 풍수지리 조건 종교 확보 조건 봉황 관련 안온 지세 가람 배치 봉황 상징 시설물 누각 문 비 대나무 오동나무 동화사 중심 부각 사찰 을 청정 유지 진입로 복원 주차장 폐쇄 진입로 개설 방안 제안 
612	2006	논문 필자 문화 욕망 사이에서 부재 대화 상대자 문화 정신 분석 상호 포함 관계 문화 정신 분석 정신 분석 문화 토대 기능 일종 수렴 점 생각 양자 관계 존재론 속성 선험 판단 문화 정신 분석 배척 연계 이론 실천 문제 성찰 도움 기여 점 부각 문화 정신 분석 배척 이유 무의식 지위 장 소성 경험주의 곡해 역설 정신 분석 심리 세계 구조 결정 인 사회 행위 동기화 문화 형태 재생산 차원 문화 방법 기여 논증 문화 개인사 문화 지평 확대 정신 분석 치료 도움 기술 프로그램 개발 필자 임상 경험 확인 정신 분석 문화 뿌리 기억 망각 교차 물림 형상 연계 정신 분석 주체 심 외상 망각 유년기 기억 이용 임상 실천 반면 문화 주체 일종 기억 타자 관계 기록 체계화 현재 망각 현장 조사 문화 정신 분석 무의식 전 외상 임상 실천 민족 지 현 장 조사 사례 기술 담화 분석 
613	2007	지리 몸 중심 사회 방향 탐색 지리 몸 가지 차원 몸 존재론 측면 몸 위치 지의 문제 관련 몸 의미론 측면 몸 중심 구성 의미 세계 주목 몸 생활 세계 중심 문제 관련 몸 존재론 측면 의미론 측면 구분 몸 의미 분리 몸 존재론 측면 의미 몸 의미론 측면 사회 교육 사람 시민 통합 분과 문제 분석 지리 몸 근거 사회과 갈등 정체성 문제 해결 방안 인정 정치학 제안 지리 몸 몸 존재론 몸 의미론 사회 교육 사람 인정 정치학 
614	2008	경상 좌수 영성 동래 읍성 재활 성화 정체성 
615	2009	도시 정체성 서울 성곽 시간 경계 
616	2007	경관 경관 계획 정체성 
617	2007	핸드폰 무선 네트워크 위치 기반 기술 등장 기술 커뮤니케이션 미디어 유비쿼터스 신조어 인간 삶 모습 변화 기술 커뮤니케이션 미디어 영향 예술 예외 활용 뉴 미디어 예술 작품 미술관 갤러리 벽 도시 광범위 영역 배경 공공 예술 성격 중 위치 기반 미디어 이용한 위치 기반 미디어 예술 예술 도시 밀접 관계 도시 해석 경험 소통 시도 위치 기반 미디어 예술 성격 도시 질 문제 상실 소통 부재 해결 방법 고려 논문 부산 광복 프로젝트 대상지 설정 위치 기반 드로잉 스토리텔링 이용한 프로젝트 제안 도시 질 문제 중 상업 회복 소통 모색 프로젝트 도시 거리 캔버스 사람 붓 거리 색 팔레트 상정 참여자 각각 자신 공유 사람 관련 이야기 사람 과정 오프라인 공유 도시 이야기 생성 소통 기대 위치 기반 미디어 예술 공공미술 
618	2009	세계 도처 변 문화 재생 도시 경쟁력 변 물 심미 가치 우수 자연경관 지역 특유 보유 문화 잠재력 목적 외국 성공 변 개발 사례 분석 바탕 글로벌 프론티어 역할 수행 전략 가치 임진강 변 효율 활용 방안 제시 임진강 개발 역사 문화 사람 이야기 자연 변 창출 목표 임진강 변 지역 문화 도시 역사 문화 가치 복원 재발견 생태관광 활성 컨셉 강 문화 연출 필요 테마 부각 관광 자원 지역 선정 관광 특구 문화 거리 지정 강변 산재 관광 매력 물 자원 상품 프로그램 패키지 필요 문화 가치 기반 임진강 개발 지역민 여가 문화 조성 지역 문화콘텐츠 확충 지역 이미지 개선 정체성 구축 예상 관광객 증가 지역 경제 활성 이바지 표 삽입 
619	2007	20세기 미술 예술 예술 슬로건 근대미술 아우라 제거 예술 축제 성격 부활 디자인 20세기 미술 동향 파생 현대 디자인 경향 예술 일상 예술 장르 융합 예술 환경 변화 도시 문화 연결 축제 연출 활성 목적 21세기 현실 현대인 문화 삶 필수 핵심 범주 시작 지역 환경 욕망 도시 구성원 상호 간 사회 조우 도시 발현 문화 특질 일면 도시 문화 조우 이해 축제 의미 부여 결과 통합 예술 환경 영역 간의 네트워크 일종 시스템 관계 형성 있다 예술 문화 연결 전략 매체 연행 공동체 연출 이미지 믹스 지역 문화 정체성 연결 인간 환경 연속 관계 생활 예술 예술 생활 주변 환경 연계 적극 사회 참여 의식 축제 연출 활성 인간의 삶 풍요 지역 발전 지역 문화 대안 도출 
620	2004	환경 조형물 건축물 장식 이상 공공 미술 작품 가로 환경 디자인 향상 수단 중 하나라 시각 출발 환경 조형물 설치 밀접 관계 시각 대상 주변 환경 맥락 요소 파악 현장 조사의 대상지 강남 중심 업무 지역 규모 건축물 집중 테헤란로 삼성역 선릉역 사이 구간 가로변 위치 개 환경 조형물 조사 환경 조형물 가로 경관 상관관계 건축물 보행자 조형물 시점 분석 가로 경관 상관 해석 결과 환경 조형물 가로 경관 주변 영향 조형물 주변 확보 주변 결합 설치 사실 파악 환경 조형물 가로 경관 조절 요소 환경 디자인 수단 거시 맥락 위치 설치 방식 재료 접근 필요 
